###>>>>>>>>>>>>>>>>>>>> START ./from-testssl.tsv
[-] [0x00] => 0x00,0x00 : 
[+] [0xc0ac] => 0xC0,0xAC : ECDHE-ECDSA-AES128-CCM
[+] [0xc0ad] => 0xC0,0xAD : ECDHE-ECDSA-AES256-CCM
[+] [0xc0ae] => 0xC0,0xAE : ECDHE-ECDSA-AES128-CCM8
[+] [0xc0af] => 0xC0,0xAF : ECDHE-ECDSA-AES256-CCM8
[+] [0xcc13] => 0xCC,0x13 : ECDHE-RSA-CHACHA20-POLY1305-OLD
!!! WARNING !!! 0xCC,0x13 not found in base db.
[+] [0xcc14] => 0xCC,0x14 : ECDHE-ECDSA-CHACHA20-POLY1305-OLD
!!! WARNING !!! 0xCC,0x14 not found in base db.
[+] [0xcc15] => 0xCC,0x15 : DHE-RSA-CHACHA20-POLY1305-OLD
!!! WARNING !!! 0xCC,0x15 not found in base db.
[+] [0xcca8] => 0xCC,0xA8 : ECDHE-RSA-CHACHA20-POLY1305
[+] [0xcca9] => 0xCC,0xA9 : ECDHE-ECDSA-CHACHA20-POLY1305
[+] [0xccaa] => 0xCC,0xAA : DHE-RSA-CHACHA20-POLY1305
[+] [0xccab] => 0xCC,0xAB : PSK-CHACHA20-POLY1305
[+] [0xccac] => 0xCC,0xAC : ECDHE-PSK-CHACHA20-POLY1305
[+] [0xccad] => 0xCC,0xAD : DHE-PSK-CHACHA20-POLY1305
[+] [0xccae] => 0xCC,0xAE : RSA-PSK-CHACHA20-POLY1305
[+] [0xff00] => 0xFF,0x00 : GOST-MD5
!!! WARNING !!! 0xFF,0x00 not found in base db.
[+] [0xff01] => 0xFF,0x01 : GOST-GOST94
!!! WARNING !!! 0xFF,0x01 not found in base db.
[+] [0xff02] => 0xFF,0x02 : GOST-GOST89MAC
!!! WARNING !!! 0xFF,0x02 not found in base db.
[+] [0xff03] => 0xFF,0x03 : GOST-GOST89STREAM
!!! WARNING !!! 0xFF,0x03 not found in base db.
[-] [0xfefe] => 0xFE,0xFE : 
[-] [0xfeff] => 0xFE,0xFF : 
[-] [0xfee0] => 0xFE,0xE0 : 
[-] [0xfee1] => 0xFE,0xE1 : 
###>>>>>>>>>>>>>>>>>>>> START ./from-centos7.9-openssl-1.0.2k.txt
###>>>>>>>>>>>>>>>>>>>> START ./from-centos8s-openssl-1.1.1k.txt
0x00,0x00	TLS_NULL_WITH_NULL_NULL	
0x00,0x01	TLS_RSA_WITH_NULL_MD5	NULL-MD5
0x00,0x02	TLS_RSA_WITH_NULL_SHA	NULL-SHA
0x00,0x03	TLS_RSA_EXPORT_WITH_RC4_40_MD5	EXP-RC4-MD5
0x00,0x04	TLS_RSA_WITH_RC4_128_MD5	RC4-MD5
0x00,0x05	TLS_RSA_WITH_RC4_128_SHA	RC4-SHA
0x00,0x06	TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5	EXP-RC2-CBC-MD5
0x00,0x07	TLS_RSA_WITH_IDEA_CBC_SHA	IDEA-CBC-SHA
0x00,0x08	TLS_RSA_EXPORT_WITH_DES40_CBC_SHA	EXP-DES-CBC-SHA
0x00,0x09	TLS_RSA_WITH_DES_CBC_SHA	DES-CBC-SHA
0x00,0x0A	TLS_RSA_WITH_3DES_EDE_CBC_SHA	DES-CBC3-SHA
0x00,0x0B	TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA	EXP-DH-DSS-DES-CBC-SHA
0x00,0x0C	TLS_DH_DSS_WITH_DES_CBC_SHA	DH-DSS-DES-CBC-SHA
0x00,0x0D	TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA	DH-DSS-DES-CBC3-SHA
0x00,0x0E	TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA	EXP-DH-RSA-DES-CBC-SHA
0x00,0x0F	TLS_DH_RSA_WITH_DES_CBC_SHA	DH-RSA-DES-CBC-SHA
0x00,0x10	TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA	DH-RSA-DES-CBC3-SHA
0x00,0x11	TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA	EXP-EDH-DSS-DES-CBC-SHA
0x00,0x12	TLS_DHE_DSS_WITH_DES_CBC_SHA	DHE-DSS-DES-CBC-SHA
0x00,0x13	TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA	DHE-DSS-DES-CBC3-SHA
0x00,0x14	TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA	EXP-EDH-RSA-DES-CBC-SHA
0x00,0x15	TLS_DHE_RSA_WITH_DES_CBC_SHA	DHE-RSA-DES-CBC-SHA
0x00,0x16	TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA	DHE-RSA-DES-CBC3-SHA
0x00,0x17	TLS_DH_anon_EXPORT_WITH_RC4_40_MD5	EXP-ADH-RC4-MD5
0x00,0x18	TLS_DH_anon_WITH_RC4_128_MD5	ADH-RC4-MD5
0x00,0x19	TLS_DH_anon_EXPORT_WITH_DES40_CBC_SHA	EXP-ADH-DES-CBC-SHA
0x00,0x1A	TLS_DH_anon_WITH_DES_CBC_SHA	ADH-DES-CBC-SHA
0x00,0x1B	TLS_DH_anon_WITH_3DES_EDE_CBC_SHA	ADH-DES-CBC3-SHA
0x00,0x1C	SSL_FORTEZZA_KEA_WITH_NULL_SHA	
0x00,0x1D	SSL_FORTEZZA_KEA_WITH_FORTEZZA_CBC_SHA	
0x00,0x1E	TLS_KRB5_WITH_DES_CBC_SHA	KRB5-DES-CBC-SHA
0x00,0x1F	TLS_KRB5_WITH_3DES_EDE_CBC_SHA	KRB5-DES-CBC3-SHA
0x00,0x20	TLS_KRB5_WITH_RC4_128_SHA	KRB5-RC4-SHA
0x00,0x21	TLS_KRB5_WITH_IDEA_CBC_SHA	KRB5-IDEA-CBC-SHA
0x00,0x22	TLS_KRB5_WITH_DES_CBC_MD5	KRB5-DES-CBC-MD5
0x00,0x23	TLS_KRB5_WITH_3DES_EDE_CBC_MD5	KRB5-DES-CBC3-MD5
0x00,0x24	TLS_KRB5_WITH_RC4_128_MD5	KRB5-RC4-MD5
0x00,0x25	TLS_KRB5_WITH_IDEA_CBC_MD5	KRB5-IDEA-CBC-MD5
